Name	Supplier	Region	Country	Origin	Altitude	Varietal	Process	Harvest	Moisture	Density [g/l]	Weight [mg]	Roast Date	Profile	Level	Batch	In [g]	Out [g]	Loss	DTR	Color	Dose [g]	Grind [°Titus]	Notes	
G1 Dumerso	Rave	Africa	Ethiopia	Yirgacheffe	1800-2000	Mixed Heirloom	Natural	2015	9.6%	737	138	07/07/2024	KL Natural	1.5	1	100.0	89.0	11.0%		121	17.5	30.0	Bit darker	
G1 Konga	Rave	Africa	Ethiopia	Yirgacheffe, Gedeo Zone	1800-2000	Mixed Heirloom	Natural	2015	10.1%	743	147	07/07/2024	KL Natural	1.5	2	100.0	88.6	11.4%		118	17.5	35.0	Good, bit darker.	
Shakiso Kayon	Sweet Maria's	Africa	Ethiopia	Guji Zone, Shakiso	1900-2200	Mixed Heirloom	Natural	2015	10.8%	729	120	07/07/2024	KL Natural	1.8	3	100.0	87.1	12.9%		115	17.5	40.0	Bit lighter?	
G1 Kochere	Coffee Compass	Africa	Ethiopia	Yirgacheffe, Gedeo Zone	1800-2000	Mixed Heirloom	Fully Washed	2015	10.6%	731	136	07/07/2024	KL Washed	1.6	4	100.0	87.2	12.8%			17.0	37.5	Tiny bit lighter.	
Toarco Jaya	Has Bean	Indonesia	Sulawesi	Tana Toraja	1400-2000	Typica Peaberry	Washed	2015	11.3%	704	186	07/07/2024	KL Washed	1.6	5	100.0	86.4	13.6%		105	17.0	25.0	Bit too dark.	
El Palmo	BellaBarista	South America	Peru	Cajamarca	2000	Caturra, Pache, Catimor, Typica	Fully Washed	2015	11.4%	702	186	07/07/2024	KL Washed	1.5	6	100.0	86.5	13.5%		111	17.0	20.0	Good!	
Boa Vista	88graines	South America	Brazil	Campo Das Vertentes	1150	Yellow Catucai	Aerobic	2023	11.1%	718	137	07/07/2024	KL Washed	1.5	7	100.0	87.4	12.6%		118	17.5	40.0	Too light	
Finca El Puente	88graines	Central America	Honduras	Marcala, La Paz	1500-1700	Catuai	Natural	2023	11.8%	722	187	07/07/2024	KL Natural	1.5	8	100.0	87.3	12.7%					Too light	
Kieni	Has Bean	Africa	Kenya	Nyeri	1800	SL28 AA	Washed	2015	11.6%	718	203	07/07/2024	KL Washed	1.5	9	100.0	85.8	14.2%		108	17.0	25.0	Lighter!	
Toarco Jaya	Has Bean	Indonesia	Sulawesi	Tana Toraja	1400-2000	Typica Peaberry	Washed	2015	11.3%	704	186	25/07/2024	KL Washed	1.3	1	145.5	127.5	12.4%		114	17.0	22.5	Good!	
